,id,tweet,entidad,dominio
13,1595449144306536450,@vmdiaries bueno chama que te puedo decir  yo ando cuidándome x1000  sin embargo le recomiendo a todos que si tienen síntomas vayan a hacer prueba rápida por el área covid  mejor salir de dudas,COVID-19,Unified Twitter Taxonomy
14,1595448847630745625,@amapolamg no me fio ni un pelo de los que tienen sintomas y me dicen  'tengo sintomas  pero me he hecho el test y enseguida dio negativo'  sobre todo si son compañeros de trabajo.,COVID-19,Unified Twitter Taxonomy
15,1595448564322287616,@SVillar9 @velasco_reguera No  es toda la sintomatología típica de Covid  los síntomas de radiación son diferentes aunque coincidan algunos síntomas. En radiación los síntomas se van o menguan cuando uno se aleja del foco de radiación.  Covid no es tanto pulmonar sino vascular.,COVID-19,Unified Twitter Taxonomy
16,1595447084676796416,😷 Las mascarillas limitan la emisión de gotitas que generamos al toser  estornudar  cantar y hablar  protegiendo a los que nos rodean.  📌➡️ Te recomendamos usarla en aglomeraciones  en el transporte público y si presentas algún síntoma. https://t.co/VVezmUFzPb,COVID-19,Unified Twitter Taxonomy
17,1595447025650237447,@frogaberria Ayuda para evitar la infección por gripe  que no está mal. Para prevenir infección por VRS  lavado de manos antes de tocar al bebé  evitar aglomeraciones  tabaco  ventilar bien la casa y mascarilla si tenemos síntomas respiratorios.,COVID-19,Unified Twitter Taxonomy
18,1595446698062528513,@Nesy21 están fuertes los nuevos “linajes” de la omicron  tengo todos los síntomas menos la pérdida de olfato/gusto,COVID-19,Unified Twitter Taxonomy
19,1595445484105211907,Miércoles 23 noviembre: Balance diario Nacional COVID-19  Casos nuevos 5.490 Sintomáticos 3.234 Sin sintomas 547 Sin notificar 1.709 Total contagiados 4.889.196 Activos 11.656 Recuperados 4.801.672 Fallecidos 14 Total 62.231 Hospitalizados UCI 144 Con ventilación mecánica 99,COVID-19,Unified Twitter Taxonomy
20,1595443919847919619,Yo al leer que medio público del Corona Capital tiene los mismos síntomas que yo 👁️👄👁️. Y aparte tengo cólicos 🥲,Events,Unified Twitter Taxonomy
21,1595443335598161921,👉Qué es la “lengua negra” y otros cuatro síntomas inusuales de COVID-19  👉 A los hasta ahora momento conocidos para una infección viral respiratoria se sumaron otros menos comunes.  +info: https://t.co/56QVfreYMg https://t.co/qthOHUnLwy,COVID-19,Unified Twitter Taxonomy
22,1595443244749713411,@Compartetuopini @LuiVillaReport @MonicaYaya @hurgamemoriaPE @unchasqui ¿Bakuna?  PD: Las vacunas contra el COVID ofrecen una protección contra el contagio en un 50%. Y ofrece una protección del 80%~90% de los peores síntomas de la enfermedad  comparando con personas no vacunadas. Si no tenemos muchos más muertos  es gracias a ello. https://t.co/EUOo3NVPTl,COVID-19,Unified Twitter Taxonomy
23,1595441969798516736,Síntomas de asistente al Corona Capital: Fiebre  tos de perro  arañazos de Smileys  y caca en los zapatos.,Events,Unified Twitter Taxonomy
24,1595441544714133506,No entiendo x q no se dice a la población q con síntomas de virus respiratorio hay q ponerse MASCARILLA  xq tu resfriado d mierda puede ser la bronquiolitis de 1bebé o la neumonia de 1anciano  no hay por qué ir regando a los demás con los virus de tu catarro  joer https://t.co/npiQ3qT7lD,COVID-19,Unified Twitter Taxonomy
25,1595441058170785793,COVID EN ÑUBLE Miércoles 23 de Noviembre * 549 casos activos. * 260 nuevos casos. 166 con síntomas. 9 sin síntomas. 85 reportados por laboratorio. El 47% de los casos fueron pesquisados a través de los operativos de testeo en la región. SEGÚN RESIDENCIA HILO,COVID-19,Unified Twitter Taxonomy
26,1595440563200970754,Y porque chinita. Si muchos que desarrollen síntomas van a tener un mal pronostico https://t.co/b8n8GaJwlm,COVID-19,Unified Twitter Taxonomy
27,1595439721492217858,@quintanapaz @_CARITAS En Cataluña hay una epidemia de nazionalismo. Y Cáritas no es una organización aislada que pueda permanecer inmune al nazismo. Cuyos síntomas van desde estupidez a idiocia congénita.,COVID-19,Unified Twitter Taxonomy
28,1595439544828297218,¿#Estornudos  congestión  secreción nasal o dolor de #garganta? Las enfermedades respiratorias pueden tener síntomas en común  pero no siempre necesitan #antibióticos. ¡Nunca te automediques! ​⁣    #Resfriado #Gripa #Influenza #COVID19 #Omicron https://t.co/EZpEHuQFmf,COVID-19,Unified Twitter Taxonomy
29,1595439530890362893,La pandemia por Covid-19 aún no termina  afirmó el médico Juan Del Bosque Márquez 😷 https://t.co/3osnFO3FKF,COVID-19,Unified Twitter Taxonomy
30,1595439255131721732,@mmalbahi @JorgeLanf Si  la vacuna hace que los síntomas sean más leves y en aquellos de riesgo  que el virus no sea mortal. Como en el caso de uno de mis hijos.,Family,Unified Twitter Taxonomy
31,1595438270950903808,#DePaís| Si presenta síntomas como fiebre  escalofríos  tos  fatiga  dolor de cabeza y garganta  pérdida del gusto o del olfato  congestión nasal  náuseas y vómitos y diarrea  puede estar enfermo de COVID-19 y debe realizarse una prueba PCR. https://t.co/ZVBIVKy62k,COVID-19,Unified Twitter Taxonomy
32,1595437250820595712,👨🏻‍⚕️👩🏻‍⚕️ #Consejos Mantengamos las medidas de bioseguridad como el uso de mascarillas. 😷 Si tiene síntomas de gripe o #COVID19   consulte a su médico. #QuedateEnCasa y no expongas a los adultos mayores si trabajas en lugar donde hay contagios.  #ElSalvador #UsaCubrebocas https://t.co/0in7OqFtRa,COVID-19,Unified Twitter Taxonomy
33,1595436849488601088,@Compartetuopini @LuiVillaReport @MonicaYaya @hurgamemoriaPE @unchasqui Se dice hasta el cansancio desde que inició la pandemia  la vacuna no evita el contagio  evita que lo síntomas no sean peores,COVID-19,Unified Twitter Taxonomy
34,1595435825923514368,El virus respiratorio sincitial (VRS) es el causante de la gran mayoría de las bronquilitis. La pediatra Irene Rivero de la @seipweb explica a @laSextaTV cuáles son los síntomas por los que debemos sospechar y consultar https://t.co/I433KsUvQT,COVID-19,Unified Twitter Taxonomy
35,1595435803131379713,@gorka_orive Uso de plantas medicinales para la prevención del COVID-19 y tratamiento de síntomas respiratorios durante la pandemia en Cusco  Perú: Un estudio transversal:https://t.co/H7CfOyfyRf,COVID-19,Unified Twitter Taxonomy
36,1595435220773502976,@Rommiaw Me hice prueba de COVID y de influenza  salí negativo. Estuve los 3 días en el Corona Capital y desde el viernes ya tenía síntomas  tengo tos y flemas pero probablemente es por la pésima calidad del aire de CDMX. Al rato iré al doctor para confirmar si es una infección.,Events,Unified Twitter Taxonomy
37,1595435189790183425,A todos los que fueron al CC les recuerdo que perder la voz es síntoma de las nuevas variantes de COVID.,COVID-19,Unified Twitter Taxonomy
38,1595435011548893185,#TamizajeComunitario | Si tienes síntomas o sospecha de contagio de COVID-19  es importante que te realices la prueba PCR  el Gobierno la ofrece de forma gratuita  y así evitar que más personas adquieran la enfermedad. #SecretaríaDePrensa https://t.co/zXaP8Cgwyc,COVID-19,Unified Twitter Taxonomy
39,1595433996502302720,@SVillar9 @velasco_reguera El covid persistente es como que va sumando síntomas porque van fallando todos los sistemas. Es horrible la verdad. Se confunde un poco con la encefalomielitis miálgica/síndrome de fatiga crónica (EM/SFC),COVID-19,Unified Twitter Taxonomy
40,1595433214914400256,Qué es la “lengua negra” y otros cuatro síntomas inusuales de COVID-19 https://t.co/AcenQZXeyt,COVID-19,Unified Twitter Taxonomy
41,1595433045682786304,Tripidemia: influenza  virus sincital respiratorio (VSR) y Covid-19. En algunos casos los síntomas son muy parecidos; por eso es mejor acudir al médico. Conoce los síntomas 👇 https://t.co/QDDT7EndsB,COVID-19: Latest news updates from around the world,Events [Entity Service]
42,1595431136083279873,@sandralopezleon Y que me diga el medico que es casualidad la epilepsia de mi hijo con la neumonia.....No wntiendo la epilepsia  pero tienes otros sintomas muy raros y nos manda al psiquiatra ....sudoracion pierde memoria.....etc...... y aqui veo que el covid si que puede provocar epilepsia....,COVID-19,Unified Twitter Taxonomy
43,1595430764732194819,@chiqui_avalos https://t.co/vCQNlDuq76 se viene anunciando continuamente a través de Vigilancia de la Salud. El aumento de los casos no tiene nada que ver con la devolución o no de la plata de covax... Ante síntomas usar tapabocas  vacunarse para prevenir formas graves. Recomienda el MSPBS.,COVID-19,Unified Twitter Taxonomy
44,1595429720266801154,@FEGAY1900 @Saddy54 @nenanzola2 @YorkOcanto Sra me hice 2 pcr en CHILE (feb 2021 y marzo 2022)  ambos fueron positivos: tuve los sintomas  quede sin olfato ni gusto por 3 meses las dos veces que me dió. Creo que fue covid o no?,COVID-19,Unified Twitter Taxonomy
45,1595429632295198721,#ADondeVayasEncuentrasTuVacuna  📣Te indicamos la disponibilidad de biológicos que tenemos en nuestra sede Ambulatoria  hoy 23 de noviembre. Recuerda que si tienes síntomas gripales debes postergar tu vacuna hasta que te recuperes. #VacunaCOVID19 #yomevacunocontraelcovid19 https://t.co/a62zqLU6ge,COVID-19,Unified Twitter Taxonomy
46,1595429310260662272,El testeo oportuno te permite cuidar a tus seres queridos y a tu entorno ¿Sabías que puedes realizarte esta prueba en tu hogar?  Aquí te explicamos cómo funciona el Antígeno en 3 Pasos  kit que puedes adquirir en farmacias adheridas en caso de síntomas o sospecha de COVID19 https://t.co/lLX5GbHdMQ,COVID-19,Unified Twitter Taxonomy
47,1595429200466427911,@iximeno Mi hijo y yo test en casa negativo refriado nos dijo el medico sintomas yo como una gripe pero con tos fea y mucho moco mi hijo igual un mes con algo de tos y moco todavia,COVID-19,Unified Twitter Taxonomy
48,1595429047089127424,@jonhye7 @Shurpolpot_1975 Y ponerse mascarilla para coger el metro o ir a trabajar teniendo un resfriado era lo más normal. En Hong Kong te podías ganar una multa si te pillaban sin mascarilla en el metro mostrando síntomas gripales visibles. Todo eso son protocolos del SARS  años 2002 y 2003.,COVID-19,Unified Twitter Taxonomy
49,1595427537278181376,@SENPneumoped ℹ️ El virus respiratorio sincitial (VRS) es un patógeno común que suele aparecer a finales del otoño  suele provocar síntomas parecidos a los de un resfriado  como tos  mucosidad o fiebre.,COVID-19,Unified Twitter Taxonomy
50,1595427421347614721,Aparte de salir con piojos también he visto muchos tuits de personas enfermas con síntomas de covid (según ellos gripa) jajaja me encantan los festivales  son una sorpresa.,COVID-19,Unified Twitter Taxonomy
51,1595426825521471492,Buenos días mi gente ya estamos de nuevo parados en el mismo lugar estube ausente un par de días a causa Delos pinches síntomas de COVID pero me pasó luego enel ISSS me dieron siete días así q hoy yame siento mucho mejor y ya estamos plantoneando de nuevo y viendo los despijes,COVID-19,Unified Twitter Taxonomy
52,1595426657854455808,Qué es la “lengua negra” y otros cuatro síntomas inusuales de COVID-19 https://t.co/HclHqte2Mv,COVID-19,Unified Twitter Taxonomy
53,1595426528690667521,La tia hoy amanecio ya mucho mejor  ya solo la garganta siento reseca pero los demas sintomas ya casi desaparecen  bendito Dios que seguimos dando la batalla a la vida  cuidense gente que esa fiebres son cosa seria y mas cuando uno ya tiene secuelas y daños del covid https://t.co/DBPVome0LG,COVID-19,Unified Twitter Taxonomy
54,1595426200838897666,Qué es la “lengua negra” y otros cuatro síntomas inusuales de COVID-19 https://t.co/FV4DqEomJz,COVID-19,Unified Twitter Taxonomy
55,1595425916183728128,@Nopanaden @Yo_soy_JulyR Podría decirme que diferencia hay entre una bronquiolitis por VRS y una por amiloidosis. No hacen diagnóstico por cultivo  solo síntomas  por tanto podría ser que la bronquiolitis no fueran producidas por el virus respiratorio sincitial (VRS). https://t.co/b81UU1pLkp,COVID-19,Unified Twitter Taxonomy
56,1595425726970449926,😷📈AL 22 DE NOVIEMBRE DE 2022  REGISTRA SECTOR SALUD 7 CASOS POSITIVOS Y CERO DEFUNCIONES DE COVID-19 EN TLAXCALA😷📈  *Exhorta el sistema de salud a la población a continuar con las medidas sanitarias. En caso de presentar síntomas repórtalo al 911. @SSalud_mx #UnaNuevaHistoria https://t.co/P8w9uDv2bF,COVID-19,Unified Twitter Taxonomy
57,1595425123095527426,@tierradelvino @CalmateElvira Siiiiiii anda por todos lados y como el síntoma es el de un resfrío común  no le damos bola  si entrás a un hospital ponete el barbijo  no sólo por el covid sino por tantos bichos que pululan ahí...,COVID-19: Latest news updates from around the world,Events [Entity Service]
58,1595424766957350915,Da igual ..... si la familia no tiene cultura sanitaria   no se lava las manos  no se protege con mascarillas cuando ellos tienen síntomas  les meten el aliento  no tienen higiene suficiente y ni siquiera visualizan cómo se propagan los virus.,COVID-19,Unified Twitter Taxonomy
59,1595424566029045763,no mamen con la cantidad de gente que tenemos síntomas de covid después del corona capital,Events,Unified Twitter Taxonomy
60,1595424528066150400,El riesgo que tampoco se explica es que 1 de cada 5 personas que se infecta desarrolla síntomas de larga duración  Long Covid  enfermedad poco entendida y difícil de diagnosticar y atender. Cada infección hay ese riesgo. Sugiero leer esta nota. https://t.co/IeYNltdikl @medscape,COVID-19,Unified Twitter Taxonomy
61,1595424160783937537,📺 En este vídeo la Jefa de Pediatría del Hospital Gregorio Marañón  Rosa Rodríguez  da una serie de consejos frente a la #bronquiolitis.  🗣️ Se incide en la importancia del uso de la mascarilla ante la presencia de síntomas y en el lavado de manos. https://t.co/l9N8QdSHJ9,COVID-19,Unified Twitter Taxonomy
62,1595422997485359110,No hacen diagnóstico por cultivo  solo síntomas  por tanto podría ser que la bronquiolitis no fueran producidas por el virus respiratorio sincitial (VRS). https://t.co/3HitN4a6zI,COVID-19,Unified Twitter Taxonomy
63,1595420981128056837,A seguir cuidándose contra el COV-19 Paxlovid está disponible sólo con receta médica y debe tomarse lo antes posible después del diagnóstico del COVID-19 y dentro de los cinco días siguientes a la aparición de los síntomas. 22 dic 2021,COVID-19,Unified Twitter Taxonomy
64,1595420187141996547,Protege a tus seres queridos y a las demás personas que te rodean. Si presentas síntomas gripales usa tu mascarilla y guarda distancia para evitar contagios 😷. https://t.co/wtIWUh8dkv,COVID-19,Unified Twitter Taxonomy
65,1595419963107450882,#TamizajeComunitario | Si tienes síntomas de COVID-19 acude a las jornadas de tamizaje comunitario que a diario realiza el Ministerio de @SaludSV  la prueba es gratuita. #SecretaríaDePrensa https://t.co/fyaZOERZ9H,COVID-19,Unified Twitter Taxonomy
66,1595418542027014145,@Yo_soy_JulyR @Ultraviolet2912 Se lavan las manos.  No me vacuné  mi marido tampoco.  72 y 75 años  ambos tuvimos covid   24 hs 37°6   picazón de garganta.  Mi nieto  45 días covid positivo   24 hs  37°7  sin otros síntomas  obviamente sin vacuna. El resto de las vacunas todas en fecha y forma,COVID-19,Unified Twitter Taxonomy
67,1595417896318078981,#Morelos | 🔴 APLICARÁN PRUEBAS ANTIGÉNICAS PARA DETECCIÓN DE COVID-19 EN UNIDADES MÉDICAS / Si en los últimos 7 días presentaste algún síntoma de #COVID19  solicita tu prueba antigénica en los módulo disponibles. Del martes 22 al viernes 25 de Noviembre. 👇🏻 https://t.co/ML8t9oPChR,COVID-19,Unified Twitter Taxonomy
68,1595417252802793472,IGIV Inmunoglobulina Intravenosa en el tratamiento de #LongCOVID #PACS Produjo significativa mejoría en los síntomas Se ha usado desde el2020 en Niños con COVID +MIS-C o PIMS Y desde hace décadas en Enfermedad de Kawasaki Un inconveniente es su alto costo  https://t.co/llXCp6yM3u https://t.co/q8c7nBenVR,COVID-19,Unified Twitter Taxonomy
69,1595416790351347717,Quisiera no sentir odio en esta vida  pero no encuentro otra palabra para describir lo que siento por los que se suben a un avión con síntomas respiratorios y no tienen la decencia de usar cubrebocas. La peste sobre sus casas 😷.,COVID-19,Unified Twitter Taxonomy
70,1595416575120736260,Y se de lo que hablo. Una compañera de mi prometida  y gran amiga suya que la ayudó mucho en los inicios como adjunta en una ciudad nueva  falleció hace unos meses por un tumor cerebral que recidivó.  Empezó con unos síntomas muy similares al COVID  pero daba negativo en las PCR.,COVID-19,Unified Twitter Taxonomy
71,1595416205992595457,Sigan usando mascarilla (por precaución) 😷... No es coincidencia que muchas personas conocidas anden con síntomas de influenza/gripe  y algunos (me sumo) nos tumba... 🤒🤢🤧😖,COVID-19,Unified Twitter Taxonomy
72,1595415970339766274,@carloso12465570 @YorkOcanto Lo que dice el Lic. Carlos Oropeza es bueno  agrégale  pero no con el estómago vacío  una Aspirina  si no sientes síntomas  si sientes síntomas  que sea Cardioaspirina; también jugo de toronja; la vacuna letal causa Miocarditis  Pericarditis  Sincopes Cardíacos y espesa la sangre https://t.co/cBWKCmBXca,COVID-19,Unified Twitter Taxonomy
73,1595415913419112449,#Innovación #Tecnología #Salud La realidad virtual aumentada puede ayudar a mejorar síntomas cognitivos y emocionales en pacientes con #Covid_19  persistente  vía @Imserso. https://t.co/kUTLwqoVon https://t.co/L9DvDfBMeb,Virtual reality,Unified Twitter Taxonomy
74,1595415367425265664,Bueno tengo los síntomas de covid pero me hicieron prueba y sale que no???? Dia 5 hecho shit. Estoy considerando ir a toserle a la doña que me golpeo en mi rotonda junto con otras mas  ahre.,COVID-19,Unified Twitter Taxonomy
75,1595415116211576832,@Profeamerico @rafaelg_fisica Aclaremos que no es solo TÚ riesgo  al ser contagioso entre personas  arriesgas a otros y a qué la pandemia y mutaciones sigan  se trata de precauciones como usar mascarilla en lugares cerrados y si tienes síntomas aislarte  No es vivir en función de es cuidarse y cuidar,COVID-19,Unified Twitter Taxonomy
76,1595414594255724544,⚠️ Atención #Calama ⚠️  ▶️ En parque Manuel Rodríguez estará ubicado esta semana un equipo de testeo de atención primaria para tomar exámenes PCR y antígeno gratuitos a personas sin síntomas #Covid_19 #Seguimoscuidándonos 💪💪 @dpploa   ✅ Infórmese acá 👇 sobre horarios y cupos https://t.co/a87W8S0vhS,COVID-19,Unified Twitter Taxonomy
77,1595414291150143493,@DeibitMarin @ShizuGina @IgualdadLGBT Si vacunado tambien se transmite el virus solo suaviza los síntomas la protección es personal y cada quien puede decidir si inocularse o no es como los disociados que se amputan partes de su cuerpo porque es su decisión.,COVID-19,Unified Twitter Taxonomy
78,1595412495644213252,#SabiasQue La Condición Post COVID-19 (PCC)  Es una condición que usualmente se diagnostica 3️⃣ meses después del inicio de la enfermedad dura al menos 2 meses y los síntomas no pueden ser explicados por un diagnóstico alternativo. #FelizCumpleañosPdteMaduro https://t.co/VaARGN6Oht,COVID-19,Unified Twitter Taxonomy
79,1595410763799494656,@martikarinaz Esa ya pasó de moda. A mi no me dio covid o al menos no tuve síntomas  pero si me dio influenza la semana pasada.,COVID-19,Unified Twitter Taxonomy
80,1595408984558690307,Al 22 de noviembre del 2022  el reporte de Sesa Tlaxcala de casos de #COVID19 es el siguiente. En caso de detectar síntomas  repórtelo de inmediato al 911; mantengamos las medidas sanitarias. #Tlaxcala #UnaNuevaHistoria https://t.co/aNn5Vn1XS0,COVID-19,Unified Twitter Taxonomy
81,1595408628202311683,Pregunta sería: A ustedes después de las vacuna han sentido algún síntoma extraño en su cuerpo?,COVID-19,Unified Twitter Taxonomy
82,1595407007439523840,@huella_azul Lo mejor es q nadie sin mascarilla se le acerque ya sabes como funciona los contagios.. si alguien tiene síntomas de resfriado ni te acerques.tengo 2 hijos la peque con 11 meses y no me corto nada hace poco pasó el VRS y no es para broma.que no le cojan en brazos . ánimo,Family,Unified Twitter Taxonomy
83,1595406540168650752,🩺 La Sociedad Española de Neumología Pediátrica  propone 4 medidas para frenar la expansión de la bronquiolitis.  😷 Si existen síntomas: Mascarilla desde de 6 años   evitar visitas a menores de tres meses  extremar higiene y distancia social y no llevar al niño a la guardería.,España elimina el aislamiento obligatorio para personas asintomáticas,Events [Entity Service]
84,1595405555211767808,@juank23_7 Cual sería la tasa por 100 000 y como se comparan los números actuales con los de la última ola? Y estos números son hospitalizaciones por COVID o son hallazgos incidentales (paciente ingresa por caída y su test sale positivo  pero no tiene síntomas respiratorios). Mil gracias😊,COVID-19,Unified Twitter Taxonomy
85,1595404601804541953,#ArribaBogotá  😷🦠| Covid-19: preocupación en Bogotá por la presencia de la nueva subvariante ‘Perro del Infierno’  que es responsable del 34.6% de contagios del país. Conozca los síntomas de este sublinaje.  @MiguelP234 @CityTv https://t.co/xZGul0rn60,COVID-19,Unified Twitter Taxonomy
86,1595403608488841216,Si estás con síntomas de Covid es porque te hace falta una pelinegra,COVID-19,Unified Twitter Taxonomy
87,1595403358520623105,Esta gente de la unidad ni síntomas tienen y se quieren hacer la prueba de covid para que les den incapacidad 🙄,COVID-19,Unified Twitter Taxonomy
88,1595402911596523520,@monito_cl Lemento decir que eso son los síntomas del COVID,COVID-19,Unified Twitter Taxonomy
89,1595402511707316224,@leonardovdv No sé wn  salió negativo el test antígeno pero están bien parecidos los síntomas,COVID-19,Unified Twitter Taxonomy
90,1595401892548558848,😷 Recuerda que el uso de mascarilla sigue siendo obligatorio en centros de atención de salud  Además  se recomienda su uso en: ✅ Transporte ✅ Aglomeraciones ✅ Cuando presentes síntomas respiratorios https://t.co/kU8Q3YUc6F,COVID-19,Unified Twitter Taxonomy
91,1595400672895438850,@85Estebancer Hay epidemia (adultos) de H1N1 e influenza  pero también hay covid. Es + contagioso y los síntomas aparecen más rápido. Entre los niños está influenza  VSR y covid. Ellos lo están pasando muy mal  xq no han desarrollado defensas x la mascarilla y puede terminar en Crup. Horrible!,COVID-19,Unified Twitter Taxonomy
92,1595400416090624000,¡Buenos días Tweetland! Cuídense  eviten aglomeraciones  usen mascarillas en lugares cerrados  suban sus defensas con vitamina C  y si sienten síntomas  hablen con su médico y hágase su prueba de COVID. #FelizMiércoles https://t.co/hHfJTOd8Et,COVID-19,Unified Twitter Taxonomy
93,1595400397157433344,⚠️ Atención #Antofagasta ⚠️  ▶️ A partir de las 10 y hasta las 14 horas nuestro laboratorio móvil estará ubicado en la explanada municipal para tomar exámenes PCR y antígeno gratuitos a personas sin síntomas #Covid_19 #Seguimoscuidándonos 💪💪 https://t.co/7KQdTeBNvl,COVID-19,Unified Twitter Taxonomy
94,1595398201351491584,Qué es la ‘lengua Covid’ que puede ser síntoma de caso positivo vía @OndaCero_es,COVID-19,Unified Twitter Taxonomy
95,1595397037847347200,@traduadiccion @NATALIA97667061 Yo siii y eso que lo viví en plena pandemia  pero realmente tuve un embarazo muy bueno. Tuve que coger la baja de riesgo muchos meses antes y lo pude disfrutar tranquilamente. Apenas sin síntomas. Eso si  el último mes fue mortal 🤣,COVID-19,Unified Twitter Taxonomy
96,1595395669740617729,⚠️ Atención #Antofagasta ⚠️  ▶️ En calles Prat esquina San Martín y el exterior del supermercado Jumbo Norte están ubicados los equipos de testeo de @cmds_antof para tomar exámenes PCR y antígeno gratuitos a personas sin síntomas #COVID19 #Seguimoscuidándonos 💪💪 https://t.co/uKTnrRDocn,COVID-19,Unified Twitter Taxonomy
97,1595392848291061762,@velasco_reguera @SVillar9 Ni quien habló de PCRs  paso de meterme hisopos.  Puedes creer lo que quieras pero yo tuve todos los síntomas de Covid  además he sido Covid persistente  y no es confundible con ninguna otra enfermedad.  Si fuera un tema de radiación y viviendo en los mismos sitios no me curaría,COVID-19,Unified Twitter Taxonomy
98,1595391953738338304,🦠#LongCOVID Síntomas neurológicos después de 12 meses de haber tenido #COVID   https://t.co/OIZ0t3UKF7 https://t.co/kGx5ljHu1A,COVID-19,Unified Twitter Taxonomy
99,1595390902587068416,Casi tres años de pandemia y aún no hemos tomado nota de un aspecto importante. Faringitis  bronquitis  bronquiolitis y neumonías son síntomas que indican inflamación  las causas son variadas  la inflamación es el síntoma.    https://t.co/bWZR0baTCD @Conversation_E,COVID-19,Unified Twitter Taxonomy
100,1595390204210200576,Al 22 de noviembre del 2022  el reporte de @SesaTlax de casos de #COVID19 es el siguiente. En caso de detectar síntomas  repórtelo de inmediato al 911; mantengamos las medidas sanitarias. #Tlaxcala #UnaNuevaHistoria https://t.co/eOUj2DmsrT,COVID-19,Unified Twitter Taxonomy
101,1595389613421563904,@qwertyeusk Mmm las 4 veces que se le internó por Covid.... Que síntomas tuvo? Fue la leve  o sea la omnicrom o fue de las primeras variantes? Conozco varios casos de vacunados con 4 dosis y se murieron,COVID-19,Unified Twitter Taxonomy
102,1595388692490862592,Durante la pandemia además dl virus había otra cosa que a la gente le agarraba q tenía síntomas como destruir barbijos  decir q las vacunas no servían. Nuestra amiga Gabriela Piovano nos contó q ese virus se llama pelotuditis infordémica y no tenía remedio Rudy,COVID-19,Unified Twitter Taxonomy
103,1595386230858211328,Amigos que han tenido covid recientemente...cuáles fueron sus síntomas?? 😞,COVID-19,Unified Twitter Taxonomy
104,1595383519538286595,Es la hora de las confesiones. Creo que en en 2007 empezó una pandemia mental. Ese año nació el iphone y el mundo entero se enfermó. Síntomas: Todos distraídos  el gobierno te rastrea  pierdes tu privacidad  sirve para manipularte. No hay vacuna. 🥺 #ConfiesoQue,Mobile,Entities [Entity Service]
