,id,tweet,sentimiento,entidad
47,1595474470004834309,Copa do mundo: 🇯🇵 X 🇩🇪 Quer dizer que o povo sensato com a ivermectina e prudente com vacinas  venceu o povo que queima carvão e se diz defensor do meio ambiente?...,positivo,Events
48,1595474466661978112,@miralva_papini @junhocesar4 @SRivoltril Segundo eles  eles tem a ivermectina! 🤡,neutral,COVID-19
49,1595474422097678336,@mqueiroga2 Não  muito obrigado. Ministro  eu e minha família estamos tomando ivermectina e não pegamos covid. Olha que trabalhamos no comércio e não paramos durante a pandemia.,positivo,Brazil political figures
50,1595474379093295105,@AndreSolimar @Anderso01216827 Eu tomei ivermectina desde o começo da infestação do vírus chinês. Não tomei as drogas experimentais  não peguei  embora todos os vacinados da minha casa tenham pegado a peste  eu só fazia rir da cara dos otários. Minha preocupação é o marginal de nove dedos tornar obrigatório.,positivo,COVID-19
51,1595474324319780865,@mqueiroga2 Quer matar mais ainda a população? Ainda bateram a meta né. VACINA DE COVID NAO! TOMEM IVERMECTINA ESSA SIM SALVA VIDAS.,negativo,Brazil political figures
52,1595474304908640263,@filipenagada Eu disse vão fazer um remédio com a composição da ivermectina e cobrar caríssimo a ivermectina era baratinha,neutral,COVID-19
53,1595474031750385667,Atenção médicos  pessoas que perderam seus anti-queridos e todos aqueles que foram proibidos  censurados  cassados e calados por tomar ou prescrever a ivermectina  agora é a hora de processar instituições  empresas e grande mídia  CNJPs e CPFs.,negativo,COVID-19
54,1595473930004881410,@ocelo1965 @mqueiroga2 A minha tbm  ja tomei ivermectina até creolina menos a vacina  Deus me livre não sou cobaia kkkk,negativo,Brazil political figures
55,1595473785959989254,@mqueiroga2 Como já foi confirmado no Japāo e vários outros países  Ivermectina e idroxocloroquina é mil x melhor que vacinas experimentais que estão causando mortes súbitas no mundo inteiro  pesquisem tb sobre Jim Humble MMS como diz o renomado Dr Lair Ribeiro “beber MMS 8x dia cura tudo”,positivo,Brazil political figures
56,1595473404999749632,@AStramezzi @giusbrindisi un ottimo farmaco per curare l’acne rosacea. #ivermectina,positivo,COVID-19
57,1595473266038251526,@mqueiroga2 Não tomei  não vou tomar  tive apenas dor de garganta. IVERMECTINA SALVA.,positivo,Brazil political figures
58,1595473192902074373,@mqueiroga2 É só tomar Ivermectina. Foi em um país sério que sua eficácia foi comprovada,negativo,Brazil political figures
59,1595473115433340930,@mqueiroga2 O que o Sr acha do Japão ter abandonado as vacinas e adotado a ivermectina ??? https://t.co/OPHlgcRVEv,negativo,Brazil political figures
60,1595473067333095424,@pricarvalho77 @mqueiroga2 Não sou vacinada  não tive covid  só tomo ivermectina  decisão minha  quem quer que tome 151 doses  problema de cada um.,negativo,Brazil political figures
61,1595473063935676416,Não uso focinheira  tomo Ivermectina regularmente.,neutral,COVID-19
62,1595473045145133056,Ivermectina igual ou melhor que o medicamento da Pfizer! https://t.co/rvaN99hvnl,positivo,Pfizer
63,1595473020054814721,@mqueiroga2 Para com isso!! Montes de pessoas saudáveis tendo problemas seríssimos com essas porcarias. Que irresponsabilidade! Ivermectina vale mais que esse experimento pra dar dinheiro a farmacêutica!,negativo,Brazil political figures
64,1595472875959779328,@mqueiroga2 Por que vc não olha pra os inúmeros estudos que comprovam a eficácia do uso prévio da ivermectina e divulga isso ao invés de insistir nessas vacinas comprovadamente causadoras de miocardites  tromboses e inúmeros óbitos em pessoas antes completamente saudáveis?!,positivo,Brazil political figures
65,1595472761866129408,@TerezinhaRibei3 Se as pessoas tivessem pesquisado mais  teriam descoberto isso em 2020! Quando tive Covid me tratei com Ivermectina  mas era ridicularizada se dissesse isso em público  era anti-ciência  mesmo com vários artigos científicos publicados!,negativo,COVID-19
66,1595472713937731585,@mqueiroga2 Ivermectina!,neutral,Brazil political figures
67,1595472643104423953,@mqueiroga2 África e Japão já aprovaram o uso da Ivermectina  medicamento amplamente estudado e comprovadamente eficaz contra a COVID-19. Pq o senhor não veste a camisa dos brasileiros em vez de vestir a camisa dos laboratórios de vacinas? Isso dá margem pra gente pen$ar muita coi$a. https://t.co/yTwgsZWjPO,positivo,Brazil political figures
68,1595472499902398466,@wcadinelli @ericanegrapreta @tsyrznd @edukrieger Da uma consultada na realidade da compra da vacina e dos estudos mundiais  que estão pra substituir vacinação pela ivermectina. Como exemplo o Japão.,neutral,COVID-19
69,1595472431002550273,@mqueiroga2 Eu só tomo ivermectina,neutral,Brazil political figures
70,1595472386865991680,@mqueiroga2 Tá louco ministro  está merda causa miocárdio e outras tantas possibilidades que ainda nem sabemos. Vc viu um aumento de incidência de câncer... Vou de ivermectina mais seguro,negativo,Brazil political figures
71,1595472125078519810,Ñ sou mais rato  de laboratório vou tomar ivermectina que parece ser mais seguro no momento senhor! https://t.co/9Rq68VKlyi,positivo,COVID-19: Latest news updates from around the world
72,1595471906211258370,@mqueiroga2 E a ivermectina???? Cadê a medicação nos postos de saúde?,neutral,Brazil political figures
73,1595471686018662400,@kolontaivilela @BiancaG33540591 Tenho 66 sou uber e não parei de trabalhar  não tomei vacina é nem vou tomar. Ivermectina  zinco  k2 magnésio  vitamina C e d  e  Deus na minha vida,positivo,COVID-19
74,1595471615906701312,@mqueiroga2 Recomendo seguir os estudos japoneses que mostraram melhor resultado a Ivermectina para p tratamento e prevenção  sem o problema dos efeitos colaterais causados a longo prazo das vacinas.,positivo,Brazil political figures
75,1595471584034230273,@mqueiroga2 Vou fazer como no país avançado  Japão  Ivermectina! Vacina experimental NUNCA! https://t.co/edoF9kjuyt,positivo,Brazil political figures
76,1595471528942092301,"@mqueiroga2 Não me vacinei  minha família não se vacinou  ""pegamos"" covid  nos tratamos com ivermectina e estamos vivos e fortes desde então. E A PFIZER? Vocês do MS não lêem publicações médicas? ATUALIZEM-SE.",positivo,Pfizer
77,1595471522734522374,@mqueiroga2 Quero ver o senhor aplicando a vacina em seus netos ao vivo  comprovado com um certificador!! Hoje temos vários estudos mostrando que a ivermectina é melhor do que as vacinas  negaram direito do povo ser tratado  estes médicos que não trataram devem ser penalizados!!!,negativo,Brazil political figures
78,1595471372939309057,@AndreSolimar Sou fã da Ivermectina!,positivo,COVID-19
79,1595471276805849088,@mqueiroga2 Ivermectina,neutral,Brazil political figures
80,1595471081619480577,@mqueiroga2 Não SOU cobaia. Japoneses já atestaram que a IVERMECTINA é MELHOR que a vacina 💉👍,positivo,Brazil political figures
81,1595470729994199040,@raiox1 @EdRaposo_ @mqueiroga2 E vc acha que a vacina resolve??? Tome ivermectina,positivo,Brazil political figures
82,1595470625791000580,@mqueiroga2 Que isso ministro que eficácia tem esse lixo que vc chama de vacina? Sou mais a Ivermectina.,neutral,Brazil political figures
83,1595470529837912065,@AkiraAkane @CludioR56505226 @PauloPMelo Na dúvida  até injeção na testa. Usei  máscara q dizem que não adianta  tomei vacina q dizem que não adianta e tomei ivermectina que dizem que não adianta. No fim  nada adiantou 100% pq peguei mas não morri  então tá valendo! Faria tudo de novo!,positivo,COVID-19
84,1595470361524637696,@alertatotal O balcão de negócios   dos laboratórios já começou dinovo. Kkkk pega fogo cabaré. Vou tomar minha ivermectina  e minha azitromicina,positivo,COVID-19
85,1595470262190866432,@mqueiroga2 NÃO TOMO ESSE VENENO CHAMADO VACINA. VOU DE IVERMECTINA,positivo,Brazil political figures
86,1595470238631485443,@Morango_______ @J0ESTRELA @2s_14_ @haeinyeop @dss_fe @aninhacfribeiro @felipeneto E dai falar pro povo tomar ivermectina e hidroxicloroquina que era repudiada pelos médicos e cientistas  podia??!,neutral,YouTubers
87,1595470111128911873,@mqueiroga2 Ivermectina!,neutral,Brazil political figures
88,1595469668000595968,@infopresidencia @petrogustavo Lo que dicen los japoneses es verdad la artrosis reumatismo su tratamiento es aliviar a María dolores pero ni haciendo sala de junta dan para erradicar la enfermedad no ven no más la erisipela la produce un hongo y no han podido combatirla no ven no más la ivermectina mata gusano,negativo,Colombia political figures
89,1595469640213348353,@profpaulamarisa Meu primo está com câncer no pâncreas  me criticava porque eu tomei Ivermectina. Agora ele está no hospital aguardando a morte iminente.,negativo,COVID-19
90,1595469539696836610,@Inconforme75 Y gracias a la ivermectina   ya que la usan mucho como prevención   esto antes de la plandemia,positivo,COVID-19
91,1595469483635884036,@mqueiroga2 Não esqueçam da ivermectina  comprovado ser mais eficaz do q essaa vacinas kkkkkk,positivo,Brazil political figures
92,1595469327565836288,@mqueiroga2 Ivermectina  e os outros que vcs insistem em negar as suas qualidades são mais seguros . O senhor deve tá ganhando um bônus por essas vacinas estocadas que não servem pra nada?,positivo,Lunges
93,1595469279222284293,@mqueiroga2 Senhor @mqueiroga2  já há pesquisas que comprovam que a vacina mRna causa mortes. O senhor vai continuar incentivando o suicídio? Por que não distribuir Ivermectina como prevenção nos moldes do Japão?,negativo,Brazil political figures
94,1595469229783916545,"@mqueiroga2 Tô me vacinando com 'IVERMECTINA"" a 3 anos.",neutral,Brazil political figures
95,1595469159407800321,@mqueiroga2 O Japão  se é que o senhor já ouviu falar no Japão; afirma depois de estudos  que a Ivermectina é o único medicamento que elimina o vírus.,neutral,Brazil political figures
96,1595469083545423872,@EdRaposo_ @mqueiroga2 Mil perdões Dr.Queiroga  mas vou na IVERMECTINA é muito mais eficaz  comigo tá dando resultado positivo!,positivo,Brazil political figures
97,1595469042546081792,@mqueiroga2 Nao obrigada! Vou seguir os conselhos dos japoneses IVERMECTINA  QUANDO SURGIR UMA VACINA DEVIDAMENTE TESTADA  APROVADA DENTRO DAS NORMAS ESTABELECIDAS AI SIM. MEU CORPO  MINHAS REGRAS,positivo,Brazil political figures
98,1595468986279510026,"@mqueiroga2 @minsaude O Sr. não está sabendo das reações adversas dessas ""vacinas""? E que a Ivermectina é eficaz  ? Segundo estudos do Japão.",positivo,Brazil political figures
99,1595468825901899778,@mqueiroga2 Vacina NÃO   IVERMECTINA sim.,positivo,Brazil political figures
100,1595468755236274182,@mqueiroga2 O senhor está falando sério  @mqueiroga2 ?? Depois de os fabricantes dizerem da não eficácia  de o Japão dizer da eficácia da Ivermectina em relação às vacinas  o senhor vem dizer isso??? Deve estar de brincadeira  não??,positivo,Brazil political figures
101,1595468524369100802,@Primarcante @brasillisrab @IlsaFelberg @antonio31622248 Você pode escolher tomar ivermectina e não acontecer nada  ou pode tomar vacina e se arriscar a contrair miocardite e trombose rs!,positivo,COVID-19
102,1595468372556353537,@BolsonaroSP Isso é tudo para vender a ivermectina nova da  pfizer com o preço 10x maior,neutral,Pfizer
103,1595468310929457157,@pricarvalho77 @mqueiroga2 Tia se a senhora acredita nessa farsa da vacina é problema seu  eu não tomei e nem vou tomar esse veneno  já tive covid e me curei co ivermectina é muito mais eficaz,negativo,Brazil political figures
104,1595468160299409411,"TÁ GANHANDO QUANTO????  DEIXE AS PESSOAS EM PAZ MILHARES DE MORTES PELA VACINA DO MAL E VC AINDE TEM CORAGEM DE FALAR UMA BOSTA DESTA?  SEJA MEIS INTELIGENTE  TODOS JA SABEMOS A VERDADE  O Japão vai substituir a vacina contra COVID por algo mais eficaz: ""A IVERMECTINA"" https://t.co/qqd2VoJg4H https://t.co/GwSp2DTfXu",positivo,COVID-19: Latest news updates from around the world
105,1595467773261537280,@mqueiroga2 Segundo o Japão  ivermectina é mais eficiente. Tome você essa porcaria,positivo,Brazil political figures
106,1595467761937006604,@profpaulamarisa pq estão enchendo o cú de ivermectina!,negativo,COVID-19
107,1595467735030730752,@mqueiroga2 Tome ivermectina,neutral,Brazil political figures
108,1595467576833966080,@mqueiroga2 vamos vacinar sim com Ivermectina e tudo mais que não prejudica nossa saúde.,positivo,Brazil political figures
109,1595467464489549827,@mqueiroga2 Como diz na minha terra: 3 caroço de ivermectina e estou vacinado,neutral,Brazil political figures
110,1595467177490087941,@Rconstantino Sugiro que voce tome ivermectina pra nao ficar mais louco do que a vaca louca.,negativo,COVID-19
111,1595466880751468544,@mqueiroga2 Não  obrigado. Até a Ivermectina é mais eficiente que esse lixo e não tem efeitos colaterais como esse lixo.,positivo,Brazil political figures
112,1595466858492268548,@PastorMalafaia Aproveita e toma ivermectina que pode curar a vaca-louca.,negativo,COVID-19
113,1595466777877676033,@mqueiroga2 Ivermectina,neutral,Brazil political figures
114,1595466777370279940,@mqueiroga2 Ivermectina é suficiente. Não vou me colocar nenhuma vacina.,neutral,Brazil political figures
115,1595466774501376022,@mqueiroga2 IVERMECTINA E O REMÉDIO.,neutral,Brazil political figures
116,1595466472876376065,Prefiro tomar Ivermectina https://t.co/Gd6uGmDh82,neutral,COVID-19: Latest news updates from around the world
117,1595466404907606021,@PauloPMelo Tome ivermectina. Tomei em 2020  tive COVID   foi mais simplesmente uma gripe.,negativo,COVID-19
118,1595466361999949825,Os médicos americanos estão processando o FDA por tornar quase impossível prescrever Ivermectina durante a pandemia.  O FDA agora está alegando no tribunal que eles nunca disseram que não poderia usar ou prescrever a ivermectina https://t.co/qf07TkNi6r,negativo,COVID-19
119,1595466093388337152,@mqueiroga2 Não obrigado  prefiro ficar com a ivermectina.,negativo,Brazil political figures
120,1595466052363866112,@mfriasoficial Toma ivermectina pra curar a vaca louca da boiada.,negativo,COVID-19
121,1595466011788169217,🇯🇵 Ivermectina 2 x 1 Lacração 🇩🇪,neutral,COVID-19
122,1595466005836435459,@mqueiroga2 Desde quando a vacina é arma contra esse vírus? Ivermectina  Hidroxicloroquina até pode ser. Mas MAIS vacina? Ta mesmo falando sério?,negativo,Brazil political figures
123,1595465825397374979,@mqueiroga2 Estudos no mundo todo indicam que a vacina faz mais mal que bem. Ivermectina não tem contra indicação mas também não dá dinheiro para as gigantes da farmácia Mundial. Fato,negativo,Brazil political figures
124,1595465806355304455,@Qatari 🇯🇵 Ivermectina 2 x 1 Lacração 🇩🇪,neutral,COVID-19
125,1595465499319705600,@Qatari 🇯🇵 Ivermectina 2 x 1 Lacração 🇩🇪,neutral,COVID-19
126,1595464891082719232,@mqueiroga2 Eu só tomei ivermectina até hoje e nunca peguei coronga.,neutral,Brazil political figures
127,1595464560298917889,@mqueiroga2 Ué.  . gente essa droga tá matando mais que Covid. Tomem Ivermectina e Azitromicina. Pronto. Bastante líquido e suco de limão,positivo,Brazil political figures
128,1595464312197373956,Posso falar agora? TOMEM IVERMECTINA ANTES DE VIAJAR! SEU CORAÇÃO AGRADECE! https://t.co/T28pS1GjMK,positivo,COVID-19
129,1595464267125473284,@mqueiroga2 Eu quero saber sobre os vídeos de vários países falando sobre a suspensão das vacinas por efeitos colaterais graves. É preciso  nescessarío e urgente que o ministério da saúde informe a população sobre esses vídeos . Ex: Japão recomenda ivermectina  prédio da Pfizer cercado e etc,positivo,Pfizer
130,1595464243511533569,@Cristin71995097 @srodnanref @mqueiroga2 Tomei ivermectina durante a pandemia e nunca peguei essa porcaria de convid!,positivo,Brazil political figures
131,1595463925977554950,@mqueiroga2 Até vacinas contra febre aftosa em gado tem mais eficiência que e esta do COVID. Tomem IVERMECTINA. É mais eficiente  diz o Japão.,positivo,Brazil political figures
132,1595463855664136196,@mqueiroga2 Vacina no teu🍩! Prefiro a Ivermectina.,neutral,Brazil political figures
133,1595463846310952961,@mqueiroga2 Tomo ivermectina enfia essa vacina naquele lugar.,neutral,Brazil political figures
134,1595463506534481923,@mqueiroga2 Fale dos efeitos colaterais e dos riscos  não somente da vacina  para decidir as pessoas precisam de informações. Porque a Florida não recomenda mais a vacina? Porque o Japão está dizendo que a Ivermectina é mais eficaz do que a vacina.,negativo,Florida
135,1595463470073380866,@mqueiroga2 Para mim fica mais fácil e acredito mais na ivermectina tá bom Ministro o Senhor por favor continue a se vacinar um dia sim um dia não tá  Obrigado  @mqueiroga2,positivo,Brazil political figures
136,1595463456718786560,Ué  e os casos de suspensão da vachina na Europa e a confirmação de que a ivermectina tem eficacia de 40% nos casos de Covid? https://t.co/Q1vfnUarAn,positivo,COVID-19: Latest news updates from around the world
137,1595463329799184405,@mqueiroga2 Não  obrigada. Prefiro a Ivermectina.,positivo,Brazil political figures
138,1595463182428127233,@mqueiroga2 Eu vou ligar agora pra farmácia e perdi ivermectina esse é a minha vacina.,negativo,Brazil political figures
139,1595463129340706816,@Elaferrer2 @CoronelMaker @pedroponciobr Ivermectina**,neutral,COVID-19
140,1595462891343433734,@mqueiroga2 Que arma? Se prestasse não precisava de tantas doses. Prefiro Ivermectina que é mais eficaz.,positivo,Brazil political figures
141,1595462792173215745,@mqueiroga2 Tá de sacanagem né? Todas as pessoas que eu conheço que tomaram essa porcaria  estão doentes e já pegaram covid umas 5 vezes  eu e minha família que só tomamos ivermectina estamos livres dessa peste e vivendo nossas vidas belos e formosos. Então caro ministro  vai tomar no cu!,positivo,Brazil political figures
142,1595462645448048642,Inoltre  nella raccomandazione AIFA sui farmaci per la gestione domiciliare #COVID19  aggiornata al 31/5/2022  c’è un elenco di farmaci approvati e una nota sugli antibiotici  inclusa azitromicina: https://t.co/AvDDVFUF6G,positivo,COVID-19
143,1595462640238841856,"Azitromicina (ANTIBIOTICO) per trattare #COVID19:   Linee guida AIFA: ""La mancanza di un solido razionale e l’assenza di prove di efficacia nel trattamento di pazienti COVID-19 non consente di raccomandare l’utilizzo dell’azitromicina da sola o associata ad altri farmaci   1/n",negativo,COVID-19
144,1595462548920434688,@mqueiroga2 O Japão está priorizando a Ivermectina? É verdade!?,positivo,Brazil political figures
145,1595462390983921665,@mqueiroga2 SE NO RESTO DO MUNDO E ATÉ OS CRIADORES ESTÃO CONTRA NÃO VOU TOMAR MESMO ESTOU COM O COVI D E PASSO BEM OBRIGADO SÓ COM AZETROMICINA E ZINCO E IVERMECTINA,positivo,Brazil political figures
146,1595462246322393089,@FelipePedri E o gado ficou mais louco ainda. E tome ivermectina pra tratar da vaca=louca.,negativo,COVID-19
147,1595462235803226113,@mqueiroga2 Tomem ivermectina é mais eficaz  o experimento é vê né no,positivo,Brazil political figures
148,1595462193558048770,Cual es el nivel de consumo de ivermectina en África?? https://t.co/M3ZvfPimO7,neutral,COVID-19
149,1595462059361280004,@profpaulamarisa Alta dose de cloroquina e ivermectina,neutral,COVID-19
150,1595462002041839617,Prefiro IVERMECTINA. Tomo 2 comprimidos  15/15 dias  desde o início da pandemia e até hoje nunca peguei COVID. Recomendo. Vacinas. não tomei NENHUMA e não tomarei. https://t.co/EZj7U6hOYG,positivo,COVID-19: Latest news updates from around the world
151,1595461777810137090,Olha a ivermectina aí gente... https://t.co/r0ADm5RO6n,neutral,Brazil political events
152,1595461644917915650,@mqueiroga2 Continuo firme com minha ivermectina!!,neutral,Brazil political figures
153,1595461575074250753,Querem tomar ivermectina tomem até sair pelo buraco do ouvido  quer tomar cloroquina  toma até sair pelo buraco do ouvido. Só não é aceitável tornar isso medida pública de combate ao COVID.,negativo,COVID-19
154,1595461532636381185,@mqueiroga2 E a ivermectina?  Tá proibida ainda  ou já podemos falar sobre isso sem ofender a Pfizer?,negativo,Pfizer
155,1595461529465413632,@mqueiroga2 MAIS UMA VEZ VOU SALVAR VIDAS- NÃO TOMEM ESSA VACINA NADA TESTADA-NDA SEGURA- EUROPA ESTADOS UNIDOS-JAPÃO FRANÇA--ETC JÁ RECONHECEM ISSO!! IVERMECTINA? JÁ TOMOU HJ? EU TOMEI!!,positivo,Brazil political figures
